"codeValue","name"
"07","16 to 17 years"
"08","16 to 19 years"
"10","16 to 24 years"
"13","18 to 19 years"
"15","18 years and over"
"17","20 years and over"
"20","20 to 24 years"
"28","25 years and over"
"30","25 to 29 years"
"31","25 to 34 years"
"33","25 to 54 years"
"36","30 to 34 years"
"37","35 to 39 years"
"38","35 to 44 years"
"39","40 to 44 years"
"40","45 years and over"
"41","45 to 49 years"
"42","45 to 54 years"
"44","50 to 54 years"
"45","55 years and over"
"48","55 to 59 years"
"49","55 to 64 years"
"56","60 to 61 years"
"57","60 to 64 years"
"61","62 to 64 years"
"65","65 years and over"
"66","65 to 69 years"
"72","70 years and over"
"73","70 to 74 years"
"78","75 years and over"
